name,count,mean,std,min,max,unique,freq,top
ID,30000,15000.5,8660.398374208891,1,30000,30000,1,
LIMIT_BAL,30000,167484.32266666667,129747.66156720246,10000.0,1000000.0,81,3365,
SEX,30000,1.6037333333333332,0.4891291960902602,1,2,2,18112,
EDUCATION,30000,1.8531333333333333,0.790348659720727,0,6,7,14030,
MARRIAGE,30000,1.5518666666666667,0.5219696006132467,0,3,4,15964,
AGE,30000,35.4855,9.217904068090155,21,79,56,1605,
PAY_0,30000,-0.0167,1.1238015279973335,-2,8,11,14737,
PAY_2,30000,-0.13376666666666667,1.1971859730345495,-2,8,11,15730,
PAY_3,30000,-0.1662,1.1968675684465686,-2,8,11,15764,
PAY_4,30000,-0.22066666666666668,1.1691386224023357,-2,8,11,16455,
PAY_5,30000,-0.2662,1.1331874060027525,-2,8,10,16947,
PAY_6,30000,-0.2911,1.149987625607897,-2,8,10,16286,
BILL_AMT1,30000,51223.3309,73635.86057552964,-165580.0,964511.0,22723,2008,
BILL_AMT2,30000,49179.07516666667,71173.76878252832,-69777.0,983931.0,22346,2506,
BILL_AMT3,30000,47013.1548,69349.38742703677,-157264.0,1664089.0,22026,2870,
BILL_AMT4,30000,43262.94896666666,64332.856133916444,-170000.0,891586.0,21548,3195,
BILL_AMT5,30000,40311.40096666667,60797.15577026471,-81334.0,927171.0,21010,3506,
BILL_AMT6,30000,38871.7604,59554.1075367459,-339603.0,961664.0,20604,4020,
PAY_AMT1,30000,5663.5805,16563.280354025774,0.0,873552.0,7943,5249,
PAY_AMT2,30000,5921.1635,23040.87040205719,0.0,1684259.0,7899,5396,
PAY_AMT3,30000,5225.6815,17606.96146980311,0.0,896040.0,7518,5968,
PAY_AMT4,30000,4826.076866666666,15666.159744032062,0.0,621000.0,6937,6408,
PAY_AMT5,30000,4799.387633333334,15278.305679144742,0.0,426529.0,6897,6703,
PAY_AMT6,30000,5215.502566666667,17777.46577543531,0.0,528666.0,6939,7173,
default.payment.next.month,30000,0.2212,0.41506180569093337,False,True,2,6636,
